Corpus	InfMorpho	FreqCount	WDNoSLE	TypeCont	PhonEnd	OrthCont	Unit	TotalFreq	UnitFreq	UnitProb
Lexique	Inflected	Type	SUB	G1	5	ain	ts	97	5	0.05154639
Lexique	Inflected	Type	SUB	G1	5	ain	t	97	3	0.03092784
Lexique	Inflected	Type	SUB	G1	5	ain	c	97	2	0.02061856
Lexique	Inflected	Type	SUB	G1	5	ain	cs	97	2	0.02061856
Lexique	Inflected	Type	SUB	G1	5	ain	gs	97	1	0.01030928
Lexique	Inflected	Token	ALL	G1	5	ain	s	991.3	927.84	0.93598305
Lexique	Inflected	Token	ALL	G1	5	ain	t	991.3	35	0.03530717
Lexique	Inflected	Token	ALL	G1	5	ain	ts	991.3	26.08	0.02630889
Lexique	Inflected	Token	ALL	G1	5	ain	gs	991.3	1.22	0.00123071
Lexique	Inflected	Token	ALL	G1	5	ain	c	991.3	0.61	0.00061535
Lexique	Inflected	Token	ALL	G1	5	ain	cs	991.3	0.55	0.00055483
Lexique	Inflected	Token	SUB	G1	5	ain	s	991.3	927.84	0.93598305
Lexique	Inflected	Token	SUB	G1	5	ain	t	991.3	35	0.03530717
Lexique	Inflected	Token	SUB	G1	5	ain	ts	991.3	26.08	0.02630889
Lexique	Inflected	Token	SUB	G1	5	ain	gs	991.3	1.22	0.00123071
Lexique	Inflected	Token	SUB	G1	5	ain	c	991.3	0.61	0.00061535
Lexique	Inflected	Token	SUB	G1	5	ain	cs	991.3	0.55	0.00055483
ManG15	All Words	Type	ALL	G1	5	ain	#	102	55	0.53921569
ManG15	All Words	Type	ALL	G1	5	ain	s	102	38	0.37254902
